data,preco_fechamento,origem
2000-10-03 12:12:45.534022,96.75,real
2000-10-04 12:12:45.534022,94.81,real
2000-10-05 12:12:45.534022,94.37,real
2000-10-06 12:12:45.534022,91.56,real
2000-10-09 12:12:45.534022,90.25,real
2000-10-10 12:12:45.534022,93.94,real
2000-10-11 12:12:45.534022,93.62,real
2000-10-12 12:12:45.534022,97.0,real
2000-10-13 12:12:45.534022,95.0,real
2000-10-16 12:12:45.534022,95.87,real
2000-10-17 12:12:45.534022,94.06,real
2000-10-18 12:12:45.534022,94.62,real
2000-10-19 12:12:45.534022,93.75,real
2000-10-20 12:12:45.534022,98.0,real
2000-10-23 12:12:45.534022,103.94,real
2000-10-24 12:12:45.534022,107.87,real
2000-10-25 12:12:45.534022,106.06,real
2000-10-26 12:12:45.534022,104.5,real
2000-10-27 12:12:45.534022,105.0,real
2000-10-30 12:12:45.534022,104.19,real
2000-10-31 12:12:45.534022,103.06,real
2000-11-01 12:12:45.534022,103.42,real
2000-11-02 12:12:45.534022,105.27,real
2000-11-03 12:12:45.534022,111.87,real
2000-11-06 12:12:45.534022,116.0,real
2000-11-07 12:12:45.534022,116.62,real
2000-11-08 12:12:45.534022,118.28,real
2000-11-09 12:12:45.534022,113.37,real
2000-11-10 12:12:45.534022,109.0,real
2000-11-13 12:12:45.534022,109.7,real
2000-11-14 12:12:45.534022,109.25,real
2000-11-15 12:12:45.534022,107.0,real
2000-11-16 12:12:45.534022,109.19,real
2000-11-17 12:12:45.534022,110.0,real
2000-11-20 12:12:45.534022,109.2,real
2000-11-21 12:12:45.534022,110.12,real
2000-11-22 12:12:45.534022,108.0,real
2000-11-23 12:12:45.534022,108.62,real
2000-11-24 12:12:45.534022,109.75,real
2000-11-27 12:12:45.534022,109.81,real
2000-11-28 12:12:45.534022,109.0,real
2000-11-29 12:12:45.534022,108.75,real
2000-11-30 12:12:45.534022,107.87,real
2000-12-01 12:12:45.534022,116.0,real
2000-12-04 12:12:45.534022,112.06,real
2000-12-05 12:12:45.534022,116.0,real
2000-12-06 12:12:45.534022,114.0,real
2000-12-07 12:12:45.534022,113.5,real
2000-12-08 12:12:45.534022,118.0,real
2000-12-11 12:12:45.534022,119.0,real
2000-12-12 12:12:45.534022,119.5,real
2000-12-13 12:12:45.534022,118.25,real
2000-12-14 12:12:45.534022,119.62,real
2000-12-15 12:12:45.534022,115.75,real
2000-12-18 12:12:45.534022,119.5,real
2000-12-19 12:12:45.534022,119.0,real
2000-12-20 12:12:45.534022,121.5,real
2000-12-21 12:12:45.534022,121.5,real
2000-12-22 12:12:45.534022,119.12,real
2000-12-25 12:12:45.534022,116.75,real
2000-12-26 12:12:45.534022,113.5,real
2000-12-27 12:12:45.534022,111.56,real
2000-12-28 12:12:45.534022,112.25,real
2000-12-29 12:12:45.534022,110.0,real
2001-01-01 12:12:45.534022,113.5,real
2001-01-02 12:12:45.534022,117.12,real
2001-01-03 12:12:45.534022,115.62,real
2001-01-04 12:12:45.534022,114.12,real
2001-01-05 12:12:45.534022,118.81,real
2001-01-08 12:12:45.534022,117.37,real
2001-01-09 12:12:45.534022,119.12,real
2001-01-10 12:12:45.534022,115.37,real
